"Part";"Value";"Device";"Package";"Description";"";
"BRIDGE_LEFT";"QUICK_CONNECT";"QUICK_CONNECT";"QUICK_CONNECT";"";"";
"BRIDGE_RIGHT";"QUICK_CONNECT";"QUICK_CONNECT";"QUICK_CONNECT";"";"";
"C1";"1u";"CAP0805";"0805";"Capacitor";"";
"C2";"100n";"CAP0805";"0805";"Capacitor";"";
"C3";"100n";"CAP0805";"0805";"Capacitor";"";
"C4";"1u";"CAP0805";"0805";"Capacitor";"";
"C5";"100n";"CAP0805";"0805";"Capacitor";"";
"C6";"1u";"CAP0805";"0805";"Capacitor";"";
"C7";"100n";"CAP0805";"0805";"Capacitor";"";
"C8";"1u";"CAP0805";"0805";"Capacitor";"";
"C9";"1u";"CAP0805";"0805";"Capacitor";"";
"C10";"1u";"CAP0805";"0805";"Capacitor";"";
"C11";"18p";"CAP0805";"0805";"Capacitor";"";
"C12";"18p";"CAP0805";"0805";"Capacitor";"";
"C13";"1u";"CAP0805";"0805";"Capacitor";"";
"C14";".1u";"CAP0805";"0805";"Capacitor";"";
"C15";"100n";"CAP0805";"0805";"Capacitor";"";
"C16";".1u";"CAP0805";"0805";"Capacitor";"";
"C17";".1u";"CAP0805";"0805";"Capacitor";"";
"C18";".1u";"CAP0805";"0805";"Capacitor";"";
"C19";"10u";"CAP0805";"0805";"Capacitor";"";
"C20";"100n";"CAP0805";"0805";"Capacitor";"";
"C21";"10u";"CAP0805";"0805";"Capacitor";"";
"C22";"10u";"CAP0805";"0805";"Capacitor";"";
"C23";"10u";"CAP0805";"0805";"Capacitor";"";
"C24";"0.1u";"CAP0805";"0805";"Capacitor";"";
"C25";"2.2u";"C37/20";"C37.5B20";"CAPACITOR";"";
"C26";"0.1u";"C-EUC2225K";"C2225K";"CAPACITOR, European symbol";"";
"C27";"2.2u";"C37/20";"C37.5B20";"CAPACITOR";"";
"C28";"0.1u";"C-EUC2225K";"C2225K";"CAPACITOR, European symbol";"";
"C29";"4.7n";"CAP0805";"0805";"Capacitor";"";
"C30";"0.1u";"CAP0805";"0805";"Capacitor";"";
"D1";"C3D02060E";"C3D02060E";"TO252";"";"";
"D2";"C3D02060E";"C3D02060E";"TO252";"";"";
"D3";"C3D02060E";"C3D02060E";"TO252";"";"";
"D4";"C3D02060E";"C3D02060E";"TO252";"";"";
"D5";"C3D02060E";"C3D02060E";"TO252";"";"";
"D6";"C3D02060E";"C3D02060E";"TO252";"";"";
"J1";"GND_CONNECT";"GND_CONNECT";"GND_CONNECT";"";"";
"J2";"BOOT0";"JUMPER-2PTH";"1X02";"Jumper";"";
"JP1";"M05X2PTH";"M05X2PTH";"AVR_ICSP";"Header 5x2";"";
"JP3";"M05X2PTH";"M05X2PTH";"AVR_ICSP";"Header 5x2";"";
"JP4";"M05X2SHD_LOCK";"M05X2SHD_LOCK";"2X5-SHROUDED_LOCK";"Header 5x2";"";
"L1";"1u";"INDUCTOR0805";"0805";"Inductors";"";
"L2";"1u";"INDUCTOR0805";"0805";"Inductors";"";
"L3";"1u";"INDUCTOR0805";"0805";"Inductors";"";
"LED1";"YELLOW";"LED0603";"LED-0603";"LEDs";"";
"LED2";"YELLOW";"LED0603";"LED-0603";"LEDs";"";
"LED3";"GREEN";"LED0603";"LED-0603";"LEDs";"";
"LED4";"GREEN";"LED0603";"LED-0603";"LEDs";"";
"R1";"10R";"RESISTOR0805-RES";"0805";"Resistor";"";
"R2";"3R3";"RESISTOR0805-RES";"0805";"Resistor";"";
"R3";"10R";"RESISTOR0805-RES";"0805";"Resistor";"";
"R4";"3R3";"RESISTOR0805-RES";"0805";"Resistor";"";
"R5";"10R";"RESISTOR0805-RES";"0805";"Resistor";"";
"R6";"3R3";"RESISTOR0805-RES";"0805";"Resistor";"";
"R7";"10R";"RESISTOR0805-RES";"0805";"Resistor";"";
"R8";"3R3";"RESISTOR0805-RES";"0805";"Resistor";"";
"R9";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";
"R10";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";
"R11";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";
"R12";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";
"R13";"4.7k";"RESISTOR0805-RES";"0805";"Resistor";"";
"R14";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";
"R15";"1k5";"RESISTOR0805-RES";"0805";"Resistor";"";
"R16";"1k5";"RESISTOR0805-RES";"0805";"Resistor";"";
"R17";"1k5";"RESISTOR0805-RES";"0805";"Resistor";"";
"R18";"1k5";"RESISTOR0805-RES";"0805";"Resistor";"";
"R19";"220";"RESISTOR0805-RES";"0805";"Resistor";"";
"R20";"220";"RESISTOR0805-RES";"0805";"Resistor";"";
"R21";"330";"RESISTOR0805-RES";"0805";"Resistor";"";
"R22";"330";"RESISTOR0805-RES";"0805";"Resistor";"";
"R23";"10";"RESISTOR0805-RES";"0805";"Resistor";"";
"R24";"10";"RESISTOR0805-RES";"0805";"Resistor";"";
"R25";"22k";"RESISTOR0805-RES";"0805";"Resistor";"";
"R26";"100";"RESISTOR0805-RES";"0805";"Resistor";"";
"R27";"10k";"RESISTOR0805-RES";"0805";"Resistor";"";
"R28";"60";"RESISTOR0805-RES";"0805";"Resistor";"";
"R29";"60";"RESISTOR0805-RES";"0805";"Resistor";"";
"R30";"22k";"RESISTOR0805-RES";"0805";"Resistor";"";
"R31";"100";"RESISTOR0805-RES";"0805";"Resistor";"";
"R32";"22k";"RESISTOR0805-RES";"0805";"Resistor";"";
"R33";"100";"RESISTOR0805-RES";"0805";"Resistor";"";
"SW1";"DIP1";"SW_DIP-2";"DIPSWITCH-02";"DIP SWITCH";"";
"SW2";"DIP2";"SW_DIP-2";"DIPSWITCH-02";"DIP SWITCH";"";
"TP1";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"";"";
"TP2";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"";"";
"TP3";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"";"";
"TP4";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"";"";
"TP5";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"";"";
"TP6";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"";"";
"TP7";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"";"";
"TP8";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"";"";
"TP9";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"";"";
"TP10";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"";"";
"TP11";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"";"";
"TP12";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"";"";
"TP15";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"";"";
"TP16";"TEST-POINT3X5";"TEST-POINT3X5";"PAD.03X.05";"";"";
"U$1";"TO-247B";"TO-247B";"TO-247-FLAT";"";"";
"U$2";"TO-247B";"TO-247B";"TO-247-FLAT";"";"";
"U$3";"TO-247B";"TO-247B";"TO-247-FLAT";"";"";
"U$4";"TO-247B";"TO-247B";"TO-247-FLAT";"";"";
"U$5";"STM32F373CCT6";"STM32F373CCT6";"LQFP48";"";"";
"U$6";"TERMINAL-BLOCK";"TERMINAL-BLOCK";"10MM_2PIN_CONNECTOR";"";"";
"U$7";"TERMINAL-BLOCK-4PIN";"TERMINAL-BLOCK-4PIN";"10MM_4PIN_CONNECTOR";"";"";
"U$10";"AFBR-1624Z";"AFBR-1624Z";"HFBR-15X3";"";"";
"U$11";"AFBR-2624Z";"AFBR-2624Z";"HFBR-15X3";"";"";
"U$12";"ACS725";"ACS725";"SO08";"";"";
"U1";"1EDI60N12AF";"1EDI60N12AF";"SO08";"";"";
"U2";"1EDI60N12AF";"1EDI60N12AF";"SO08";"";"";
"U3";"1EDI60N12AF";"1EDI60N12AF";"SO08";"";"";
"U4";"1EDI60N12AF";"1EDI60N12AF";"SO08";"";"";
"U5";"V_REG_LDOSMD";"V_REG_LDOSMD";"SOT23-5";"Voltage Regulator LDO";"";
"U6";"SN65HVD230DR";"SN65HVD230DR";"SOIC127P600X175-8N";"3.3-V CAN TRANSCEIVERS";"";
